schema_version,protocol_hash,status,study,domain,truth,candidate,seed,n_observations,dimension,objective,deviance,gradient_norm,best_start,second_best_objective_gap,wall_seconds,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,0,25,11,-79.80746421709686,-166.87877707849492,8.447087963968543e-05,4,0.0061122467295007255,72.68956729999627,6,-144.87877707849492,-124.57108477080261,-131.4711430049447,-156.01217887769144,-151.45570527829273,-146.89923167889404,-137.7862844800966,-160.12697999651309,-141.3890340365989,3.375898540990914,18.22589439759482,7.263848644301179
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,1,25,11,-81.46457240070112,-165.5460194434251,3.3677000739595074e-05,2,5.460267449564071e-05,81.50463129999844,6,-143.5460194434251,-123.2383271357328,-130.1383853698749,-158.8091324467325,-155.1896607894862,-151.57018913223993,-144.33124581774737,-161.3601562021996,-148.4512581724171,2.092931620612754,14.47788662898513,2.616874642022874
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,2,25,11,-82.00991815521792,-167.68709948154043,0.0005006540366409291,0,0.0014725898652727665,84.8689594000025,6,-145.68709948154043,-125.37940717384812,-132.27946540799022,-159.4120768486094,-155.45675572912265,-151.5014346096359,-143.59079237066246,-162.5455388354289,-148.1985518324889,2.5707803230557613,15.821284477946932,3.6672631711045875
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,3,25,11,-85.21011288178356,-173.2294954200112,4.8843427552185455e-05,0,0.0025703648046970784,70.79879999999685,6,-151.2294954200112,-130.9218031123189,-137.821861346461,-165.88087093994332,-162.12565279667416,-158.37043465340497,-150.85999836686662,-168.66353830958505,-155.39935319049042,2.282978555213072,15.020872573076701,2.8092696564440915
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,4,25,11,-76.72627885556828,-161.84460525183664,9.225513847119716e-06,4,0.009780405511818913,70.91868840000097,6,-139.84460525183664,-119.53691294414433,-126.43697117828643,-150.8355497193464,-146.2026516599683,-141.5697536005902,-132.30395748183398,-155.0042944529937,-134.92096547362414,3.4201553994214753,18.531592237512434,8.39204754070008
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,5,25,11,-75.1247019315625,-158.50687097794838,0.00011717488109573796,2,0.11379898908433006,74.13984469999559,6,-136.50687097794838,-116.19917867025607,-123.09923690439817,-147.34069689285172,-142.6964083333682,-138.0521197738847,-128.76354265491764,-151.5689369335036,-131.67224962519091,3.4689670222223814,18.57715423793407,8.257467114823399
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,6,25,11,-74.4096128741378,-153.77059201888486,4.6757464631848925e-05,4,0.0031812940107585064,71.11122050000267,6,-131.77059201888486,-111.46289971119255,-118.36295794533464,-144.0064810344445,-139.73330357979893,-135.46012612515338,-126.91377121586225,-147.70380875933483,-131.72651592969336,3.033391629775013,17.09270981858225,4.951366270609246
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,7,25,11,-80.29843567191945,-166.6094634876307,4.129056661066993e-05,3,0.023086933062202775,73.39571519999299,6,-144.6094634876307,-124.3017711799384,-131.2018294140805,-156.26130990596593,-151.8354277846944,-147.40954566342285,-138.55778142087976,-160.17979415915423,-142.89334285875273,3.214834664238246,17.70352848508616,6.012592143791802
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,8,25,11,-78.8057612111387,-159.9666104353781,6.6658620050633565e-06,0,0.0309604766750482,71.48600019999867,2,-137.9666104353781,-117.6589181276858,-124.55897636182789,-153.58057813166494,-150.02454760325102,-146.4685170748371,-139.35645601800925,-155.9987454718549,-143.38740030862172,1.9839324817615949,14.22412211365567,2.355088013100692
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,9,25,11,-75.0729047295472,-154.7823705979917,3.6725362041808945e-05,1,0.004636709511530057,69.9869278000042,6,-132.7823705979917,-112.4746782902994,-119.37473652444149,-145.26297626617693,-141.05690941965727,-136.85084257313758,-128.43870888009823,-148.86763834378644,-133.3215420730157,2.95736612710263,16.82426738607869,4.636561138897285
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,10,25,11,-80.09167198310658,-167.6452415135789,0.00010037668204216582,1,0.0011369638835390106,77.59408350000012,6,-145.6452415135789,-125.33754920588659,-132.23760744002868,-156.6820262535342,-152.1039346523205,-147.52584305110682,-138.36965984867945,-160.83341287741607,-141.87097756135842,3.405914318081411,18.31236640485475,7.4618975473657505
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,11,25,11,-71.0959455374464,-148.92069782105523,6.715699440776633e-05,2,0.0012877051816388985,75.45890520000103,6,-126.92069782105523,-106.61300551336292,-113.51306374750502,-138.3362063345263,-133.856805055239,-129.3774037759517,-120.41860121737709,-142.34418349592602,-124.27428595774357,3.2882571625646064,17.91760511714922,6.7288067461624355
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,12,25,11,-76.46268390545919,-156.33224860804853,4.4197072592940337e-05,3,0.005891943627560181,72.40555339999992,6,-134.33224860804853,-114.02455630035622,-120.92461453449832,-147.83847135296563,-143.86363934224076,-139.88880733151586,-131.9391433100661,-151.05476807309768,-137.02603976801885,2.638740267475425,15.899328042899514,3.406880797130145
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,13,25,11,-77.43100255453247,-158.15255011492022,7.208101058482162e-05,3,0.00018590924612738036,76.78789539999707,6,-136.15255011492022,-115.84485780722791,-122.74491604137,-151.0848682347709,-147.3982843036802,-143.71170037258952,-136.33853251040816,-153.7611524564295,-140.1156693847022,2.195698829245361,14.74633572436276,3.290545005855279
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,14,25,11,-80.97470616327703,-167.3673127872779,4.3505294666835526e-05,1,0.02198923119037488,75.04455759999837,6,-145.3673127872779,-125.0596204795856,-131.9596787137277,-157.20910448766142,-152.8534849354039,-148.49786538314643,-139.78662627863145,-161.0556630981928,-144.5269341175241,3.155824844542556,17.42247820902999,5.417900460723839
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,15,25,11,-71.81897887961043,-151.43324346211242,3.811567097948002e-05,4,0.056354582218531846,74.51839189999737,6,-129.43324346211242,-109.12555115442011,-116.0256093885622,-140.42084989600033,-135.8408285163445,-131.26080713668864,-122.10076437737698,-144.59085862636746,-125.3178722405975,3.421192417872471,18.320085518623358,7.795285702891563
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,16,25,11,-79.19611930185992,-164.48861650634984,2.33467738234458e-05,3,0.09083030319291652,79.76664280000114,6,-142.48861650634984,-122.18092419865754,-129.08098243279963,-154.0528271490155,-149.61234530693324,-145.17186346485096,-136.29089978068643,-158.00449600893262,-140.63031123539076,3.2420602487086128,17.76192736832909,6.096377902630008
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,17,25,11,-72.38285784593887,-149.67412712021905,1.9161106321818637e-05,1,0.012369232460017088,75.70572879999963,6,-127.67412712021905,-107.36643481252675,-114.26649304666884,-140.0584263566409,-135.82706298315895,-131.59569960967698,-123.13297286271309,-143.6995563155364,-127.84026219794994,2.987285402341326,16.925453493927808,4.908411428341304
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,18,25,11,-79.76369083801593,-163.39959464173634,2.944681920769634e-05,4,0.006764699665509966,97.18853200000012,6,-141.39959464173634,-121.09190233404404,-127.99196056818613,-154.6943632922938,-150.67991488314172,-146.66546647398962,-138.63656965568546,-157.99073029090417,-143.46958803942354,2.7044321754160823,16.057793636608313,3.872212965704473
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,19,25,11,-73.4549284440516,-151.7031387160896,1.9926051729430962e-05,3,0.005452406345440863,131.84919110000192,6,-129.7031387160896,-109.39544640839729,-116.29550464253938,-142.36282401943225,-138.2031479758711,-134.04347193230993,-125.72411984518762,-145.89967489527584,-130.27115271385856,2.901731910406883,16.638704174244637,4.793281827986387
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,20,25,11,-73.09312637671275,-150.35723645018584,4.0781277384152465e-06,3,0.001206199764155258,145.64445059999707,6,-128.35723645018584,-108.04954414249353,-114.94960237663562,-141.65909725302674,-137.58924748984424,-133.51939772666174,-125.37969820029672,-144.95277870132858,-129.90685370069545,2.702228874428621,16.27939905273003,4.170983696760343
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,21,25,11,-81.91522306380162,-167.07215793296308,3.042934489748399e-05,1,0.0022305522186343296,172.5258543999953,6,-145.07215793296308,-124.76446562527077,-131.66452385941287,-159.9857945438111,-156.27855303082225,-152.57131151783344,-145.15682849185578,-162.66915280029872,-149.00148007564792,2.201502566332188,14.828966051955328,3.2417118053598477
2.0,6676451d975acf44,ok,biochemical_ude,biochemical,ude_mm,ude_mm,22,25,11,-82.66914386376773,-168.44618224365558,1.690317711141388e-05,3,0.0017000722952502656,156.62401300000056,6,-146.44618224365558,-126.13848993596328,-133.03854817010537,-161.04112520125213,-157.28524321695133,-153.52936123265056,-146.017597264049,-163.84516161080364,-150.31475979033232,2.3005103164259704,15.023527937203154,3.107894516120122
