schema_version,protocol_hash,status,scenario,truth,candidate,seed,observation,noise,n_observations,dimension,objective,deviance,forecast_mse,gradient_norm,best_start,wall_seconds,second_best_objective_gap,jacobian_rank,aic,aicc,bic,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,ogic_p,ogic_e,d_obs,c_obs,prior_energy
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,25,infected,0.02,16,14,-32.50096904998331,-82.63608571472555,0.009454674402722725,2.595174077257706e-05,2,79.7020557000069,7.580780447824509e-11,8,-54.63608571472555,365.36391428527446,-43.81984360336862,-76.47961401894659,-74.37868178763553,-72.27774955632445,-68.07588509370231,-78.19513012228876,-56.59820917472235,2.2204777962183964,8.403728925244275,17.634147614758934
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,26,infected,0.02,16,14,-30.986431791920563,-83.8009562074274,0.008271811757965118,3.194233772570351e-05,1,75.81618039999739,5.631051180898794e-12,8,-55.800956207427404,364.1990437925726,-44.98471409607047,-77.56241880017146,-75.46388198531952,-73.36534517046756,-69.16827154076368,-79.30080271750317,-53.578716324433344,2.2500767449621133,8.394147259407777,21.82809262358628
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,27,infected,0.02,16,14,-25.289813042291506,-72.89906633281944,0.008020769273802015,1.2036032974760692e-05,1,74.85988580001867,2.3208102106764272e-10,8,-44.899066332819444,375.1009336671806,-34.08282422146251,-66.63100347153815,-64.5315045815232,-62.432005691508245,-58.233007911478346,-68.37761472984404,-42.18163052452321,2.2607258014877027,8.397995560059806,22.31944024823643
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,28,infected,0.02,16,14,-31.427623363038336,-84.90783123643503,0.0058459371882589066,3.671257475592714e-05,3,76.15931620000629,2.0343904338915308e-10,8,-56.90783123643503,363.092168763565,-46.091589125078094,-78.37302439679415,-76.14508009257116,-73.91713578834816,-69.46124717990219,-80.19396452607644,-53.9434695091847,2.3569333551792964,8.91177721689197,22.052584510358358
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,29,infected,0.02,16,14,-27.042080835220105,-78.79130926556437,0.007285770030143281,3.306701651320552e-05,3,80.35601780001889,5.7550408882889315e-11,8,-50.791309265564365,369.20869073443566,-39.97506715420743,-72.43905876104654,-70.31972843892413,-68.20039811680172,-63.961737472556905,-74.20912911488821,-45.606840381950576,2.2910900753380723,8.477321288489637,24.70714759512416
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,30,infected,0.02,16,14,-30.01548815068038,-84.44804880205861,0.006300490288763696,1.5008317858391044e-05,3,84.69501669998863,7.249951750054606e-10,8,-56.44804880205861,363.5519511979414,-45.63180669070167,-78.06568244552543,-75.89328812265393,-73.72089379978244,-69.37610515403946,-79.84414465620512,-51.34139900987479,2.3019520729267455,8.689577291485966,24.41707250069785
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,31,infected,0.02,16,14,-33.23397406797876,-87.30449062550016,0.008640275298346845,2.5778961904740253e-05,4,83.38737599999877,9.577831860951846e-10,8,-59.304490625500165,360.6955093744998,-48.48824851414323,-81.06315189717535,-78.96253197248912,-76.8619120478029,-72.66067219843045,-82.80231640956895,-58.065468437212616,2.25108710796561,8.402479698744894,20.83654248954265
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,32,infected,0.02,16,14,-27.545378498298366,-77.59165514298945,0.006782782704869002,2.354255230522127e-05,0,82.83459820001735,2.757971628852829e-11,8,-49.59165514298945,370.40834485701055,-38.77541303163252,-71.25438672361567,-69.0864416120742,-66.91849650053271,-62.58260627744977,-73.02028228228305,-46.41897655043083,2.285686430353202,8.6717804461659,22.50089814639272
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,33,infected,0.02,16,14,-31.531731514559738,-85.31498078168553,0.006384226872547014,1.2880797829653693e-05,1,79.97413379998761,2.786322284009657e-10,8,-57.314980781685534,362.68501921831444,-46.4987386703286,-78.64788808375334,-76.43878539284064,-74.22968270192793,-69.81147732010251,-80.50568999545864,-54.22705226546865,2.40464539311345,8.836410763650827,22.25151775256606
2.0,d2529863525fee49,ok,early_seir_infected_only,seir,neural_ode_h2,34,infected,0.02,16,14,-32.605050086387635,-85.11252327414826,0.009139992567681695,1.521876189100583e-05,2,79.27520929998718,4.4941828036826337e-11,8,-57.11252327414826,362.88747672585174,-46.296281162791324,-78.84722957055715,-76.7671773205638,-74.68712507057046,-70.52702057058376,-80.59306919620639,-56.88989117280188,2.259727038970937,8.320208999973387,19.902423101372996
