scenario,seed,method,mse,log_score,coverage90,mean_width90,within_variance,between_variance,weight_sir,weight_tv_sir,weight_ude_sir_h2,weight_neural_ode_h2
early_seir_infected_only,19,equal,0.0015188497491131546,1.8130723864992264,1.0,0.16248597512320787,0.0017910200762536385,0.0008068613633454429,0.25,0.25,0.25,0.25
early_seir_infected_only,19,aic,0.0004601112910787707,2.1695304747857844,1.0,0.1410239845571983,0.002022857004203092,2.2506413548251973e-05,0.82380813357113,0.1760862871006669,0.00010178339200945758,3.7959361935773625e-06
early_seir_infected_only,19,bic,0.0004265308911810928,2.205175420323706,1.0,0.13735874360186673,0.0019339892858948723,1.2676045670542198e-05,0.9101537032434845,0.0898427801028757,3.475969844865348e-06,4.068379484135759e-08
early_seir_infected_only,19,gic_evid,0.00040406476758439837,2.2284091958610968,1.0,0.13510474800624958,0.001882538112409273,5.721174027225384e-06,0.4862351971051243,0.03760592010991961,0.4761461785581544,1.2704226801657437e-05
early_seir_infected_only,19,stacking,0.0006138980963648358,2.1122830853695738,1.0,0.14372389061573654,0.0017508753332382964,0.0003301242259218454,3.090822972476981e-07,1.4090876939198638e-17,0.9230646846891772,0.07693500622852552
early_seir_infected_only,19,hard_gic_pred,0.0003872173609601555,2.246019335896881,1.0,0.1334486520531965,0.0018464349730202398,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,20,equal,0.0008112230947151536,1.7459391107809032,1.0,0.19667039619717494,0.002399944410957145,0.0015498469445060893,0.25,0.25,0.25,0.25
early_seir_infected_only,20,aic,0.001050611590535598,1.8113073557678012,1.0,0.14241816478935246,0.001930558995231508,0.00016080382590156225,0.23575315471878916,0.7639781128276748,0.0002600877544501324,8.644699085885937e-06
early_seir_infected_only,20,bic,0.0007847064138818052,1.9445706877232982,1.0,0.13978200358941575,0.0017671426660767697,0.00021354815543182535,0.40054659671059645,0.5994396015891003,1.3659218533698825e-05,1.4248176964746248e-07
early_seir_infected_only,20,gic_evid,0.00041492557602431073,1.9493504345520156,1.0,0.1721773224370224,0.00255180639366623,0.0005060401924051942,0.37419491753894457,0.407127219560982,0.21866780786531298,1.0055034760491131e-05
early_seir_infected_only,20,stacking,0.0015165672907792233,1.5197964905727692,0.6666666666666666,0.14203148971171115,0.002162248258213557,1.008436990512733e-12,2.3637712453008224e-10,0.9999999994704267,2.365744483951973e-10,5.6621690782763954e-11
early_seir_infected_only,20,hard_gic_pred,0.001516567291920709,1.5197964896120684,0.6666666666666666,0.1420314896532129,0.00216224825771266,0.0,0.0,1.0,0.0,0.0
early_seir_infected_only,21,equal,0.0011834394862394802,1.885978474792372,1.0,0.1661098931472875,0.0018528802339501979,0.0008455000347620732,0.25,0.25,0.25,0.25
early_seir_infected_only,21,aic,0.0002997723622224995,2.2258548020474236,1.0,0.14206969758516377,0.002090061022635374,2.8869223642008697e-06,0.8796361356615501,0.12025364639435397,0.00010864064025662402,1.5773038393416346e-06
early_seir_infected_only,21,bic,0.00028972427236529107,2.241806751524772,1.0,0.140151064647443,0.002039909343153229,1.5204951595481978e-06,0.9406116953043049,0.05938469737801787,3.590955670802451e-06,1.6362006456953698e-08
early_seir_infected_only,21,gic_evid,0.00028221084827917685,2.249855408204935,1.0,0.13929508863473802,0.0020185889108060256,8.271547740224776e-07,0.4905595386893824,0.02954900309542165,0.4798877375485096,3.7206666862333142e-06
early_seir_infected_only,21,stacking,0.0008743521964746061,1.9822859817005305,1.0,0.1581756028783384,0.0017193465683871412,0.0007438269585789684,0.803614105363866,2.8997748980408173e-12,8.472672548852156e-08,0.19638580990650872
early_seir_infected_only,21,hard_gic_pred,0.00027461289129787544,2.257979989877877,1.0,0.13844527254753394,0.0019977889113103773,0.0,0.0,0.0,1.0,0.0
early_seir_infected_only,22,equal,0.0030687894686159452,1.5631809320112404,1.0,0.1541050573111349,0.0017681728377042993,0.0005221874672897389,0.25,0.25,0.25,0.25
early_seir_infected_only,22,aic,0.0018161372148626307,1.8952128616837178,1.0,0.1430671128349804,0.00206436363313351,1.6852910019715525e-05,0.8081291671709547,0.19177044534009446,9.972326525104623e-05,6.642236996974715e-07
early_seir_infected_only,22,bic,0.001756330744935121,1.9076795268099271,1.0,0.14029434251261153,0.00200059471762909,9.6773285682429e-06,0.9012308997946908,0.09876565536509664,3.4376542732913473e-06,7.185939328844989e-09
