study,seed,criterion,truth,selected,correct
ecology_rm,6,gic_vol_050,rm,rm,1
ecology_rm,6,ogic_e,rm,rm,1
ecology_rm,7,aic,rm,rm,1
ecology_rm,7,aicc,rm,rm,1
ecology_rm,7,bic,rm,rm,1
ecology_rm,7,gic_eff,rm,rm,1
ecology_rm,7,gic_vol_050,rm,rm,1
ecology_rm,7,ogic_e,rm,rm,1
ecology_rm,8,aic,rm,rm,1
ecology_rm,8,aicc,rm,rm,1
ecology_rm,8,bic,rm,rm,1
ecology_rm,8,gic_eff,rm,rm,1
ecology_rm,8,gic_vol_050,rm,rm,1
ecology_rm,8,ogic_e,rm,rm,1
ecology_rm,9,aic,rm,rm,1
ecology_rm,9,aicc,rm,rm,1
ecology_rm,9,bic,rm,rm,1
ecology_rm,9,gic_eff,rm,rm,1
ecology_rm,9,gic_vol_050,rm,rm,1
ecology_rm,9,ogic_e,rm,rm,1
ecology_rm,10,aic,rm,rm,1
ecology_rm,10,aicc,rm,rm,1
ecology_rm,10,bic,rm,rm,1
ecology_rm,10,gic_eff,rm,rm,1
ecology_rm,10,gic_vol_050,rm,rm,1
ecology_rm,10,ogic_e,rm,rm,1
ecology_rm,11,aic,rm,rm,1
ecology_rm,11,aicc,rm,rm,1
ecology_rm,11,bic,rm,rm,1
ecology_rm,11,gic_eff,rm,rm,1
ecology_rm,11,gic_vol_050,rm,rm,1
ecology_rm,11,ogic_e,rm,rm,1
ecology_rm,12,aic,rm,rm,1
ecology_rm,12,aicc,rm,rm,1
ecology_rm,12,bic,rm,rm,1
ecology_rm,12,gic_eff,rm,rm,1
ecology_rm,12,gic_vol_050,rm,rm,1
ecology_rm,12,ogic_e,rm,rm,1
ecology_rm,13,aic,rm,rm,1
ecology_rm,13,aicc,rm,rm,1
ecology_rm,13,bic,rm,rm,1
ecology_rm,13,gic_eff,rm,rm,1
ecology_rm,13,gic_vol_050,rm,rm,1
ecology_rm,13,ogic_e,rm,rm,1
ecology_rm,14,aic,rm,rm,1
ecology_rm,14,aicc,rm,rm,1
ecology_rm,14,bic,rm,rm,1
