schema_version,protocol_hash,status,scenario,candidate,truth,seed,draws,waic_laplace,p_waic
2.0,33b9cbff6f8c9ac5,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,16,512,24040.533555021975,12101.5916450542
2.0,0ea3708062fec9f0,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,17,512,32711.80081010922,16431.959438652426
2.0,7427a2f5cca71ad4,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,18,512,27638.220654508877,13897.92474019566
2.0,4bf001e4d326ee48,ok,missing_neural_feedback,ude_sir_h2,ude_sir_h2,19,512,31996.15229408669,16077.04769100748
2.0,d489675e97823110,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,0,512,12982.825619474916,6579.287591599654
2.0,bf0bc8d55bfc792c,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,1,512,8503.291912158125,4336.372483185673
2.0,09a7f3a421691119,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,2,512,21260.75850908038,10715.128421164238
2.0,de959a87da239314,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,3,512,16020.925026848714,8093.849620589695
2.0,dc37f585aa8cc7c2,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,4,512,23294.969252898536,11727.9484102685
2.0,97dad8a9f13a777e,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,5,512,12341.858546394884,6252.3321808788805
2.0,c8af8e68eeceb308,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,6,512,14247.897138865213,7209.287997229494
2.0,e26b822475cab42d,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,7,512,16589.98990993595,8376.686796271313
2.0,93382255f227fe51,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,8,512,16677.304303595083,8418.98367512613
2.0,ea0b4eee16b0247d,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,9,512,12562.156306060322,6368.355654390749
2.0,8976d3355f243869,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,10,512,15275.814314123478,7724.152555877798
2.0,ff1fe48b71dcf4d1,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,11,512,28531.15486917299,14349.89913129512
2.0,648b79c5de9b7494,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,12,512,18469.2844153219,9319.721876928817
2.0,f1f869f5e621206b,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,13,512,25456.793099761475,12814.620109989693
2.0,b60e27c62ea3fbe5,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,14,512,9753.073447709452,4964.365522856102
2.0,7998516a9500b5bc,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,15,512,16621.667077612037,8399.067871110323
2.0,06ae2099b558c7c7,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,16,512,16058.866814294179,8115.776011887818
2.0,d3b9a2e389584f2e,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,17,512,12292.590341218976,6232.249345313675
2.0,8911be5ad9d54b6e,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,18,512,23853.0497775729,12010.493667568011
2.0,398bf896e87ae9ef,ok,missing_time_varying_transmission,neural_ode_h2,tv_sir,19,512,21220.786564716334,10697.834063249516
2.0,5ce08b87415fd90b,ok,missing_time_varying_transmission,seir,tv_sir,0,512,1418.6975469909248,801.7697558911307
2.0,30d841984912307d,ok,missing_time_varying_transmission,seir,tv_sir,1,512,1787.61283672136,965.6970346987878
2.0,3066e9da1b2c0e2f,ok,missing_time_varying_transmission,seir,tv_sir,2,512,2304.593868646834,1228.1437856106336
