scenario,seed,criterion,truth,selected,correct,selection_gap,support_entropy
regular_sir_full,33,bic,sir,sir,1,7.3463018337690755,0.11605339430122658
regular_sir_full,33,gic_pred,sir,sir,1,2.394419526314323,0.850548405534381
regular_sir_full,33,gic_evid,sir,sir,1,9.266386364532423,0.0701107565237705
regular_sir_full,33,gic_eff_logn,sir,sir,1,7.301495220982815,0.163631265221398
regular_sir_full,34,aic,sir,sir,1,3.153955274271084,0.45923730212005504
regular_sir_full,34,aicc,sir,sir,1,3.498903009462765,0.41974556701923194
regular_sir_full,34,bic,sir,sir,1,8.085771511580333,0.08711091865543576
regular_sir_full,34,gic_pred,sir,sir,1,2.027478827280902,0.894363237913096
regular_sir_full,34,gic_evid,sir,sir,1,5.528880104428708,0.2355419439508053
regular_sir_full,34,gic_eff_logn,sir,sir,1,5.497149359236801,0.3080547767551387
regular_sir_full,35,aic,sir,sir,1,3.9139848495859724,0.37550063395533295
regular_sir_full,35,aicc,sir,sir,1,4.258932584777654,0.33887644179173165
regular_sir_full,35,bic,sir,sir,1,8.845801086895221,0.06437076609553687
regular_sir_full,35,gic_pred,sir,sir,1,1.892623859134119,0.847336852684845
regular_sir_full,35,gic_evid,sir,sir,1,3.265157116443447,0.4521866923526331
regular_sir_full,35,gic_eff_logn,sir,sir,1,4.305307629307663,0.3903143652290112
regular_sir_full,36,aic,sir,tv_sir,0,0.2378126533391196,0.6953779968836522
regular_sir_full,36,aicc,sir,sir,1,0.1071350818525616,0.6937574631262791
regular_sir_full,36,bic,sir,sir,1,4.6940035839701295,0.2962566575418983
regular_sir_full,36,gic_pred,sir,ude_sir_h2,0,1.2094696140280803,1.0436300943871273
regular_sir_full,36,gic_evid,sir,sir,1,2.3213087262491854,0.5855182279193143
regular_sir_full,36,gic_eff_logn,sir,sir,1,2.06068117050404,0.783942824704956
regular_sir_full,37,aic,sir,sir,1,1.9697972718488472,0.5878084694292108
regular_sir_full,37,aicc,sir,sir,1,2.3147450070405284,0.5507049943213732
regular_sir_full,37,bic,sir,sir,1,6.901613509158096,0.13732186710674749
regular_sir_full,37,gic_pred,sir,sir,1,1.949634415270225,0.9250389206469676
regular_sir_full,37,gic_evid,sir,sir,1,9.379724998501388,0.07102801183210336
regular_sir_full,37,gic_eff_logn,sir,sir,1,6.856590776713119,0.19061126436251175
regular_sir_full,38,aic,sir,sir,1,2.829949224426855,0.4953195531532799
regular_sir_full,38,aicc,sir,sir,1,3.174896959618536,0.4557687742929243
regular_sir_full,38,bic,sir,sir,1,7.761765461736104,0.09887669402962422
regular_sir_full,38,gic_pred,sir,sir,1,1.7334962260642897,0.9361067929887388
regular_sir_full,38,gic_evid,sir,sir,1,4.482846521177976,0.3278840583420912
regular_sir_full,38,gic_eff_logn,sir,sir,1,4.665213899714672,0.38687823284069744
regular_sir_full,39,aic,sir,sir,1,1.1956878456695677,0.6521005756319439
regular_sir_full,39,aicc,sir,sir,1,1.5406355808612489,0.6245313449074789
regular_sir_full,39,bic,sir,sir,1,6.127504082978817,0.18238147030395713
regular_sir_full,39,gic_pred,sir,sir,1,1.1757018820002259,0.9604966192974884
regular_sir_full,39,gic_evid,sir,sir,1,8.592238733197632,0.09750140703961992
regular_sir_full,39,gic_eff_logn,sir,sir,1,6.0828763442737,0.25501027009734634
regular_sir_full,40,aic,sir,sir,1,1.0147885912306265,0.664894749563482
regular_sir_full,40,aicc,sir,sir,1,1.3597363264223077,0.6392327574646416
regular_sir_full,40,bic,sir,sir,1,5.946604828539876,0.19451112445752866
regular_sir_full,40,gic_pred,sir,sir,1,0.9954446696399373,1.004108164758627
regular_sir_full,40,gic_evid,sir,sir,1,9.061643788834203,0.08635109642848039
regular_sir_full,40,gic_eff_logn,sir,sir,1,5.903410740300501,0.25814300928039596
regular_sir_full,41,aic,sir,sir,1,2.7079084795502695,0.5090493155765489
regular_sir_full,41,aicc,sir,sir,1,3.0528562147419507,0.46947371437481694
regular_sir_full,41,bic,sir,sir,1,7.639724716859519,0.10366879341300729
regular_sir_full,41,gic_pred,sir,sir,1,1.398575021351462,0.9610938148438565
regular_sir_full,41,gic_evid,sir,sir,1,4.24222835865362,0.35217896961758843
regular_sir_full,41,gic_eff_logn,sir,sir,1,4.351478904386909,0.41981336061196317
regular_sir_full,42,aic,sir,sir,1,3.2262845754912632,0.4510720861227466
regular_sir_full,42,aicc,sir,sir,1,3.5712323106829444,0.41176479970391194
regular_sir_full,42,bic,sir,sir,1,8.158100812800512,0.0846650778816711
regular_sir_full,42,gic_pred,sir,sir,1,1.5695958945950679,0.9159773180170603
regular_sir_full,42,gic_evid,sir,sir,1,4.036051923917739,0.37091482309074675
regular_sir_full,42,gic_eff_logn,sir,sir,1,4.304263150734869,0.4079165518365694
regular_sir_full,43,aic,sir,sir,1,3.91178867576582,0.3774531367544599
regular_sir_full,43,aicc,sir,sir,1,4.256736410957501,0.33949083540466307
regular_sir_full,43,bic,sir,sir,1,8.843604913075069,0.06442776387105643
regular_sir_full,43,gic_pred,sir,sir,1,2.776143225692749,0.7796996974151542
regular_sir_full,43,gic_evid,sir,sir,1,8.62339787146044,0.07829552549260715
regular_sir_full,43,gic_eff_logn,sir,sir,1,8.800939382063348,0.12704294171374164
