scenario,truth,candidate,seed,training_deviance,mean_new_deviance,mc_se_new_deviance,empirical_optimism,predicted_optimism,calibration_residual,effective_dimension,new_response_draws
noisy_sir_overfit_risk,sir,ude_sir_h2,63,-92.73022796396297,-85.95985784316562,0.6970242797866355,6.770370120797352,5.514669046067519,1.2557010747298332,2.7573345230337596,200
noisy_sir_overfit_risk,sir,ude_sir_h2,64,-101.51130241616093,-90.39849775315918,0.5772034642366355,11.112804663001754,5.090886254828896,6.021918408172858,2.545443127414448,200
noisy_sir_overfit_risk,sir,ude_sir_h2,65,-98.82037118754182,-91.16300884687416,0.5503786201918485,7.65736234066766,4.887455535799953,2.7699068048677074,2.4437277678999765,200
noisy_sir_overfit_risk,sir,ude_sir_h2,66,-103.4055962055566,-84.28906994167345,0.6538702190939039,19.11652626388316,5.988754093784589,13.12777217009857,2.9943770468922946,200
noisy_sir_overfit_risk,sir,ude_sir_h2,67,-93.32299174649789,-89.34429375085527,0.5927862356485761,3.9786979956426194,5.546703645012689,-1.56800564937007,2.7733518225063447,200
noisy_sir_overfit_risk,sir,ude_sir_h2,68,-88.26657894155917,-87.43660563370136,0.6073081496900696,0.8299733078578129,5.298425655740859,-4.468452347883046,2.6492128278704294,200
noisy_sir_overfit_risk,sir,ude_sir_h2,69,-103.67397431481537,-91.13006285765844,0.5461259383714437,12.543911457156923,4.649331527252414,7.894579929904509,2.324665763626207,200
noisy_sir_overfit_risk,sir,ude_sir_h2,70,-86.7677823625277,-88.1786586381477,0.6061106379336663,-1.410876275619998,5.248746115021964,-6.659622390641962,2.624373057510982,200
noisy_sir_overfit_risk,sir,ude_sir_h2,71,-97.7862752225756,-89.77464627186248,0.5308784873166621,8.011628950713117,5.618510927024694,2.393118023688423,2.809255463512347,200
noisy_sir_overfit_risk,sir,ude_sir_h2,72,-87.71010546449642,-91.00409939048124,0.528101257806783,-3.2939939259848217,4.839626177157682,-8.133620103142505,2.419813088578841,200
