n_times,noise,trajectories,seed,criterion,truth,selected,correct,selection_gap,support_entropy
10,0.005,2,9,gic_pred,ude_sir_h2,ude_sir_h2,1,47.79291748491903,1.0727699946552595e-09
10,0.005,2,9,gic_evid,ude_sir_h2,ude_sir_h2,1,33.471297829779104,9.564165565182209e-07
10,0.005,2,9,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,49.09198245116822,6.507021582217962e-10
10,0.005,2,10,aic,ude_sir_h2,ude_sir_h2,1,39.589512444829154,5.687482674613595e-08
10,0.005,2,10,aicc,ude_sir_h2,ude_sir_h2,1,9.256179111495825,0.054520397332697645
10,0.005,2,10,bic,ude_sir_h2,ude_sir_h2,1,32.619386529951214,1.4301706653489925e-06
10,0.005,2,10,gic_pred,ude_sir_h2,ude_sir_h2,1,41.02296049661709,2.738339201695528e-08
10,0.005,2,10,gic_evid,ude_sir_h2,ude_sir_h2,1,28.674014087704833,9.10452560174169e-06
10,0.005,2,10,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,42.09915722426014,1.8697724921864256e-08
10,0.005,2,11,aic,ude_sir_h2,ude_sir_h2,1,10.787465018439633,0.02950877937641449
10,0.005,2,11,aicc,ude_sir_h2,tv_sir,0,19.545868314893696,0.0006137323772703693
10,0.005,2,11,bic,ude_sir_h2,ude_sir_h2,1,3.817339103561693,0.38485555104215596
10,0.005,2,11,gic_pred,ude_sir_h2,ude_sir_h2,1,16.789923758331042,0.002603134617939925
10,0.005,2,11,gic_evid,ude_sir_h2,ude_sir_h2,1,3.1000311618901435,0.46385669316356215
10,0.005,2,11,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,17.74352224599062,0.002446818290984981
10,0.005,2,12,aic,ude_sir_h2,ude_sir_h2,1,13.432015949208136,0.00933632087232767
10,0.005,2,12,aicc,ude_sir_h2,tv_sir,0,16.901317384125193,0.0020197598142521716
10,0.005,2,12,bic,ude_sir_h2,ude_sir_h2,1,6.461890034330196,0.16159220005907757
10,0.005,2,12,gic_pred,ude_sir_h2,ude_sir_h2,1,22.4190143012582,0.0001653732995872423
10,0.005,2,12,gic_evid,ude_sir_h2,ude_sir_h2,1,3.6780512169324737,0.3997864628340466
10,0.005,2,12,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,19.92321053713667,0.0005171117501725206
10,0.005,2,13,aic,ude_sir_h2,ude_sir_h2,1,19.488812513946726,0.0006298197756386091
10,0.005,2,13,aicc,ude_sir_h2,tv_sir,0,10.844520819386602,0.0282530359636288
10,0.005,2,13,bic,ude_sir_h2,ude_sir_h2,1,12.518686599068786,0.013858826324225863
10,0.005,2,13,gic_pred,ude_sir_h2,ude_sir_h2,1,28.141325851470043,1.1676835197385145e-05
10,0.005,2,13,gic_evid,ude_sir_h2,ude_sir_h2,1,8.285475161325053,0.08051014882448225
10,0.005,2,13,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,25.47899332535627,4.029742230756027e-05
10,0.005,2,14,aic,ude_sir_h2,ude_sir_h2,1,5.126872750106372,0.25757632416320747
10,0.005,2,14,aicc,ude_sir_h2,tv_sir,0,25.206460583226956,4.5722216367781934e-05
10,0.005,2,14,bic,ude_sir_h2,tv_sir,0,1.8432531647715678,0.5972700510384715
10,0.005,2,14,gic_pred,ude_sir_h2,ude_sir_h2,1,13.902632581498878,0.00760675450103129
10,0.005,2,14,gic_evid,ude_sir_h2,tv_sir,0,4.929314659469924,0.27477824974802095
10,0.005,2,14,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,11.301660311159083,0.023299956122501485
10,0.005,2,15,aic,ude_sir_h2,ude_sir_h2,1,15.804405273556284,0.003292023070123486
10,0.005,2,15,aicc,ude_sir_h2,tv_sir,0,14.528928059777044,0.0057811275205374105
10,0.005,2,15,bic,ude_sir_h2,ude_sir_h2,1,8.834279358678344,0.06466990533106644
10,0.005,2,15,gic_pred,ude_sir_h2,ude_sir_h2,1,24.769936562405036,5.596186968654955e-05
10,0.005,2,15,gic_evid,ude_sir_h2,ude_sir_h2,1,7.7500682733484325,0.09932713526461369
10,0.005,2,15,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,22.26344507445951,0.0001776113441609781
10,0.005,2,16,aic,ude_sir_h2,ude_sir_h2,1,14.828027839111485,0.005069136586135444
10,0.005,2,16,aicc,ude_sir_h2,tv_sir,0,15.505305494221858,0.003758629460011105
10,0.005,2,16,bic,ude_sir_h2,ude_sir_h2,1,7.857901924233545,0.09524363078120311
10,0.005,2,16,gic_pred,ude_sir_h2,ude_sir_h2,1,23.55970698095888,0.00010014938284821921
10,0.005,2,16,gic_evid,ude_sir_h2,ude_sir_h2,1,4.958554251752375,0.2721839035878824
10,0.005,2,16,gic_eff_logn,ude_sir_h2,ude_sir_h2,1,20.936788428008782,0.0003271345937116205
10,0.005,2,17,aic,ude_sir_h2,ude_sir_h2,1,22.795688989907887,0.0001390981084327103
10,0.005,2,17,aicc,ude_sir_h2,tv_sir,0,7.537644343425441,0.10783626864160353
10,0.005,2,17,bic,ude_sir_h2,ude_sir_h2,1,15.825563075029947,0.0032612634943292897
