scenario,candidate,seed,resolution,d_obs,c_obs
early_seir_infected_only,neural_ode_h2,8,2.1544346900318843,2.0935026844526323,7.033931297172953
early_seir_infected_only,neural_ode_h2,8,3.1622776601683795,1.9954672499916208,6.249400887667349
early_seir_infected_only,neural_ode_h2,8,4.641588833612779,1.8968167068239448,5.502432032954002
early_seir_infected_only,neural_ode_h2,8,6.812920690579615,1.7921879082363947,4.794310743344785
early_seir_infected_only,neural_ode_h2,8,10.0,1.6775278175262156,4.128170632556423
early_seir_infected_only,neural_ode_h2,8,14.677992676220699,1.5511411068809482,3.5082725791840472
early_seir_infected_only,neural_ode_h2,8,21.544346900318846,1.4139991182623433,2.939010489444666
early_seir_infected_only,neural_ode_h2,8,31.622776601683793,1.2690529205695862,2.423989106488926
early_seir_infected_only,neural_ode_h2,8,46.4158883361278,1.1199111536234536,1.9655109284271168
early_seir_infected_only,neural_ode_h2,8,68.12920690579611,0.9698202717452222,1.5645449183471796
early_seir_infected_only,neural_ode_h2,8,100.0,0.8216575120491254,1.2209014516970569
early_seir_infected_only,neural_ode_h2,9,0.01,3.660083238094681,20.981598792670578
early_seir_infected_only,neural_ode_h2,9,0.014677992676220698,3.5292296787051156,19.601891415276548
early_seir_infected_only,neural_ode_h2,9,0.021544346900318832,3.3931795550531385,18.273484123070922
early_seir_infected_only,neural_ode_h2,9,0.03162277660168379,3.2548236572117952,16.99782191615056
early_seir_infected_only,neural_ode_h2,9,0.046415888336127774,3.116471150117004,15.775307395618325
early_seir_infected_only,neural_ode_h2,9,0.06812920690579612,2.979010376282219,14.605723287843203
early_seir_infected_only,neural_ode_h2,9,0.1,2.8423786733991703,13.488728154016803
early_seir_infected_only,neural_ode_h2,9,0.1467799267622069,2.706899175783495,12.42397667546857
early_seir_infected_only,neural_ode_h2,9,0.21544346900318834,2.5743880323155754,11.410733381137021
early_seir_infected_only,neural_ode_h2,9,0.31622776601683794,2.4480995336231715,10.44726570414044
early_seir_infected_only,neural_ode_h2,9,0.46415888336127775,2.331444080570093,9.530508465604731
early_seir_infected_only,neural_ode_h2,9,0.6812920690579611,2.2263243512225084,8.65632916851498
early_seir_infected_only,neural_ode_h2,9,1.0,2.13210425818864,7.8203358493005295
early_seir_infected_only,neural_ode_h2,9,1.4677992676220697,2.045605189807598,7.018883200143682
early_seir_infected_only,neural_ode_h2,9,2.1544346900318843,1.961852676068347,6.249921314471079
early_seir_infected_only,neural_ode_h2,9,3.1622776601683795,1.8751288503703862,5.513487305969627
early_seir_infected_only,neural_ode_h2,9,4.641588833612779,1.7800876089361048,4.8117770367440595
early_seir_infected_only,neural_ode_h2,9,6.812920690579615,1.6728477638970423,4.148790384916451
early_seir_infected_only,neural_ode_h2,9,10.0,1.551884358552378,3.5295863073928535
early_seir_infected_only,neural_ode_h2,9,14.677992676220699,1.418329090781044,2.959295012883473
early_seir_infected_only,neural_ode_h2,9,21.544346900318846,1.2753594175200822,2.442185983945026
early_seir_infected_only,neural_ode_h2,9,31.622776601683793,1.126925190775155,1.981117697807926
early_seir_infected_only,neural_ode_h2,9,46.4158883361278,0.9766838292045369,1.5774679237445448
early_seir_infected_only,neural_ode_h2,9,68.12920690579611,0.827890722996093,1.231301130432576
early_seir_infected_only,neural_ode_h2,9,100.0,0.6840637311155606,0.9414067457583488
early_seir_infected_only,neural_ode_h2,10,0.01,3.8076822337263714,22.18725564739248
early_seir_infected_only,neural_ode_h2,10,0.014677992676220698,3.683415528047157,20.74962500917851
early_seir_infected_only,neural_ode_h2,10,0.021544346900318832,3.5522385539318986,19.361024016593984
early_seir_infected_only,neural_ode_h2,10,0.03162277660168379,3.4156501653711455,18.023879015515167
early_seir_infected_only,neural_ode_h2,10,0.046415888336127774,3.276388371506026,16.739755855992158
early_seir_infected_only,neural_ode_h2,10,0.06812920690579612,3.136853885274205,15.509186391688218
early_seir_infected_only,neural_ode_h2,10,0.1,2.9980968523112717,14.3320268683831
early_seir_infected_only,neural_ode_h2,10,0.1467799267622069,2.8600800981149943,13.207968043600085
early_seir_infected_only,neural_ode_h2,10,0.21544346900318834,2.722927697371323,12.136730060534793
early_seir_infected_only,neural_ode_h2,10,0.31622776601683794,2.5881114949488193,11.117751933327012
early_seir_infected_only,neural_ode_h2,10,0.46415888336127775,2.458567968079009,10.149608189075066
early_seir_infected_only,neural_ode_h2,10,0.6812920690579611,2.337540830243898,9.229635697334851
early_seir_infected_only,neural_ode_h2,10,1.0,2.2269073259424736,8.354138475148392
early_seir_infected_only,neural_ode_h2,10,1.4677992676220697,2.1260463065232926,7.519159625183805
early_seir_infected_only,neural_ode_h2,10,2.1544346900318843,2.031764692261738,6.721488208464825
early_seir_infected_only,neural_ode_h2,10,3.1622776601683795,1.9390923264423419,5.959514313223556
early_seir_infected_only,neural_ode_h2,10,4.641588833612779,1.8425001288893719,5.233684565125021
early_seir_infected_only,neural_ode_h2,10,6.812920690579615,1.737216539425165,4.546463504539767
early_seir_infected_only,neural_ode_h2,10,10.0,1.6204048977585481,3.901807954936789
early_seir_infected_only,neural_ode_h2,10,14.677992676220699,1.4918529187947653,3.304269477175474
early_seir_infected_only,neural_ode_h2,10,21.544346900318846,1.353767465653938,2.757993714886158
early_seir_infected_only,neural_ode_h2,10,31.622776601683793,1.2096451897005625,2.2659860109150736
early_seir_infected_only,neural_ode_h2,10,46.4158883361278,1.0629031076664424,1.829888195192506
early_seir_infected_only,neural_ode_h2,10,68.12920690579611,0.9162557264815878,1.4501644206170015
early_seir_infected_only,neural_ode_h2,10,100.0,0.7721985994517356,1.1263079540548404
early_seir_infected_only,neural_ode_h2,11,0.01,4.05382408842333,23.555722374831344
early_seir_infected_only,neural_ode_h2,11,0.014677992676220698,3.926715358819651,22.024353161234494
early_seir_infected_only,neural_ode_h2,11,0.021544346900318832,3.7965547257516694,20.542250449528293
