schema_version,protocol_hash,scenario,seed,sample,dimension,rank,statistic,log_information_volume,objective,parameter_error,wall_seconds
2.0,13066be19a18391e,early_seir_infected_only,55,calibration,3,3,116.9190567455237,9.143737456078574,-43.42143673437806,1.6415362932319435,4.377208999998402
2.0,13066be19a18391e,early_seir_infected_only,56,calibration,3,2,79.22814500496051,8.186582630020267,-37.7652403628657,1.852812855947173,4.357405300004757
2.0,13066be19a18391e,early_seir_infected_only,57,calibration,3,2,19.740665549472038,7.10354107298885,-42.99914628138742,1.1976916474191306,4.363152500009164
2.0,13066be19a18391e,early_seir_infected_only,58,calibration,3,2,38.660094326777234,7.074995109504604,-39.57682505711587,1.6807274251445465,4.31408620000002
2.0,13066be19a18391e,early_seir_infected_only,59,calibration,3,2,13.328946797054094,6.2981751768444285,-39.39417323023888,1.5161423974204207,4.358797299995786
2.0,13066be19a18391e,early_seir_infected_only,60,calibration,3,2,67.22196539344506,3.36544602167262,-42.29642154769379,2.0001784031258243,4.372888600002625
2.0,13066be19a18391e,early_seir_infected_only,61,calibration,3,2,38.94340302562548,5.942661766289705,-43.05039371925318,1.8260836377514906,4.333477299995138
2.0,13066be19a18391e,early_seir_infected_only,62,calibration,3,2,15.112060094871154,4.085067735926841,-41.68360078058677,1.264298496189534,4.299436100001913
2.0,13066be19a18391e,early_seir_infected_only,63,calibration,3,2,54.1165465878958,7.057831615204042,-44.5133105809611,1.4444118368098209,4.3758945999870775
2.0,13066be19a18391e,early_seir_infected_only,64,calibration,3,2,10.336952403773562,6.972826471448792,-41.506035663415716,0.9311850107977031,4.287811400005012
2.0,13066be19a18391e,early_seir_infected_only,65,calibration,3,2,32.24857572533173,5.9151944549720925,-43.91521804348666,1.3185601277264478,4.374726800000644
2.0,13066be19a18391e,early_seir_infected_only,66,calibration,3,3,78.6422510305216,9.202294895287569,-35.7663517465535,1.375669940617227,4.36503790000279
2.0,13066be19a18391e,early_seir_infected_only,67,calibration,3,2,5.045058978345075,6.123175454393295,-41.3851461599513,0.5740113633856899,4.354912599999807
2.0,13066be19a18391e,early_seir_infected_only,68,calibration,3,2,82.00339061986124,8.582978553328122,-40.04704327002708,1.793443310793519,4.386168199998792
2.0,13066be19a18391e,early_seir_infected_only,69,calibration,3,2,24.224422025366913,5.437554335040205,-45.064109053582875,1.6041035728040316,4.399811400013277
2.0,13066be19a18391e,early_seir_infected_only,70,calibration,3,3,0.21862131507688032,6.078316147290695,-40.44192764091202,0.41023861039512544,4.279766899999231
2.0,13066be19a18391e,early_seir_infected_only,71,calibration,3,1,61.39736598999134,6.3237790099330216,-35.417509759375605,1.947220104770366,4.392753599997377
2.0,13066be19a18391e,early_seir_infected_only,72,calibration,3,2,98.18794909500055,5.539353928605708,-37.28571077493872,2.154153308034257,4.3549316999997245
2.0,13066be19a18391e,early_seir_infected_only,73,calibration,3,2,0.5734293169461195,7.285808138470122,-38.86882031098375,0.2546580093012796,4.267744699987816
2.0,13066be19a18391e,early_seir_infected_only,74,calibration,3,2,21.228042170111813,6.897155101973711,-36.35438404851142,1.01320642409477,4.367559300007997
2.0,13066be19a18391e,early_seir_infected_only,75,calibration,3,3,77.2749777722949,7.048682145550346,-38.05157984441952,1.6018173524033492,4.358223200004431
2.0,13066be19a18391e,early_seir_infected_only,76,calibration,3,2,17.959891377515994,5.152624072352326,-42.191487648551366,1.4481564275596852,4.337027999994461
2.0,13066be19a18391e,early_seir_infected_only,77,calibration,3,3,4.834456716578254,6.345047966630661,-44.707868931948724,0.6761189446185492,4.3070984999940265
2.0,13066be19a18391e,early_seir_infected_only,78,calibration,3,2,10.237759014165484,6.089793228129862,-44.78448861397527,1.1820812221693149,4.33501549999346
2.0,13066be19a18391e,early_seir_infected_only,79,calibration,3,2,25.53336828307394,5.9275261761627345,-43.13232264313871,1.4383051879888804,4.36846240000159
2.0,13066be19a18391e,early_seir_infected_only,80,calibration,3,2,61.03163599283869,8.63867118442921,-41.83137514973842,1.5920334281876172,4.365158899992821
2.0,13066be19a18391e,early_seir_infected_only,81,calibration,3,2,62.21985947264516,5.805322949330047,-36.31492101908052,2.282715659257532,4.346288900007494
2.0,13066be19a18391e,early_seir_infected_only,82,calibration,3,2,7.455348611941147,4.830120882257644,-40.735242559879545,1.1784272820862494,4.271607800008496
2.0,13066be19a18391e,early_seir_infected_only,83,calibration,3,3,0.5471621131476616,4.973177971548605,-43.088884535244254,0.4094017148284878,4.344901900010882
2.0,13066be19a18391e,early_seir_infected_only,84,calibration,3,3,131.16824249347138,9.645367262382589,-44.95556529812509,1.470720743957704,4.3732715000078315
2.0,13066be19a18391e,early_seir_infected_only,85,calibration,3,2,48.836527962478094,7.457912495473528,-38.07655486380011,1.7219535927787466,4.364106699998956
