status,scenario,truth,candidate,candidate_label,seed,observation,noise,n_observations,dimension,objective,deviance,converged,iterations,wall_seconds,forecast_mse,blocked_validation,condition_information,jacobian_rank,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,d_obs,c_obs,prior_energy,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),10,infected,0.02,16,14,-30.365211922392398,-82.22453596009319,True,162,14.166439799999353,0.008548223124837606,-19.613858721414267,6420983435406.617,8,-54.22453596009319,365.7754640399068,-43.40829384873626,1995.8995382133671,1034.947109995729,-77.77072130820824,-52.376285369636406,2.2269073259424736,8.354138475148392,21.494112115308397,-76.05023782271194,-73.96170320392484,-71.87316858513773,-67.69609934756355
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),11,infected,0.02,16,14,-30.47291360409575,-82.38410360684625,True,169,7.667138100005104,0.0071155518820164585,19.276983246276444,6335317351861.582,8,-54.38410360684625,365.6158963931538,-43.56786149548932,77.35111378985857,75.61446766957557,-77.6523972594788,-52.21296284464873,2.365853173683724,8.732864363542777,21.438276398654754,-75.82456577901557,-73.64134968812988,-71.45813359724418,-67.0917014154728
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),12,infected,0.02,16,14,-28.476779904835222,-76.53053631051158,True,169,10.579699100009748,0.0076054088820605185,-7.826422194255997,5452844410981.1875,10,-48.53053631051158,371.4694636894884,-37.714294199154644,115.42107060605545,91.91447281083073,-71.59420773762811,-47.99908921523611,2.4681642864417337,8.954470594434332,19.576976500841134,-69.68733184528823,-67.44871419667965,-65.21009654807106,-60.732861250853894
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),13,infected,0.02,16,14,-34.29489256992922,-86.44608019814169,True,167,20.97175270000298,0.008690273441085675,-15.08401822460075,5526949031086.37,8,-58.446080198141686,361.55391980185834,-47.62983808678475,364.73058367681386,221.37204674518415,-81.82560792410209,-60.04641817824136,2.3102361370198032,8.543366961617075,17.85629505828325,-80.04074553892978,-77.90490379852551,-75.76906205812125,-71.4973785773127
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),14,infected,0.02,16,14,-27.163789098905745,-75.96880247844115,True,169,21.260508199993637,0.005931705150035869,-15.812254453419232,6854180079417.13,9,-47.96880247844115,372.03119752155885,-37.15256036708421,-1.1523151851109126,32.61755183804698,-71.1080868420915,-45.260219476531915,2.4303578181748295,9.067358721279572,21.641224280629658,-69.23041980076233,-66.96358012044244,-64.69674044012255,-60.16306107948276
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),15,infected,0.02,16,14,-32.06274068766591,-84.7852107539677,True,165,21.048590599995805,0.0067212445382382096,35.927491612830885,6432690536670.403,8,-56.785210753967704,363.2147892460323,-45.96896864261077,255.64000792403925,165.70752296611911,-79.97615411702819,-55.26680333313513,2.4045283184697612,8.858678042196686,20.65972937863588,-78.11844265587226,-75.90377314532309,-73.68910363477391,-69.25976461367557
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),16,infected,0.02,16,14,-28.847402990580512,-77.07424241003152,True,168,10.596319399992353,0.010322243089633754,1.8729666620363936,4754573219769.511,8,-49.074242410031516,370.9257575899685,-38.25800029867458,39.253637842761634,55.43350275699725,-72.53938420105516,-49.514930493167675,2.2674291044881776,8.179875487993348,19.37943642887049,-70.78759404644934,-68.742625174451,-66.69765630245267,-62.60771855845599
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),17,infected,0.02,16,14,-26.68572499739384,-76.12920914093061,True,164,10.410237599993707,0.009085608841150596,-8.842402121100125,6429753749463.997,8,-48.12920914093061,371.8707908590694,-37.31296702957368,377.5215434578876,222.02742610233054,-71.73997802493152,-45.19463926587922,2.1946155579995454,8.176810728908467,22.75775914614293,-70.0444427951691,-68.00024011294198,-65.95603743071487,-61.86763206626064
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),18,infected,0.02,16,14,-29.535237316718266,-81.59516039040909,True,168,10.472749200009275,0.008645086136960136,-12.590917807545502,6159344833815.188,8,-53.59516039040909,366.4048396095909,-42.77891827905216,449.2386966869956,260.53842923085824,-77.10735477905934,-50.75925953008046,2.243902805674876,8.311215103356068,22.52468575697256,-75.37374077759273,-73.29593700175371,-71.2181332259147,-67.06252567423667
ok,early_seir_infected_only,seir,neural_ode_h2,NeuralODE(2),19,infected,0.02,16,14,-33.253167468052915,-86.64475092490609,True,168,3.5460757999971975,0.007624599718072836,-3.223761331086763,6596792785555.408,8,-58.64475092490609,361.3552490750939,-47.828508813549156,43.50601332487261,60.78251108819402,-82.08200328011884,-57.935029760550194,2.281373822393625,8.57130517555564,20.13841598880026,-80.31943959372447,-78.17661329983555,-76.03378700594665,-71.74813441816883
