status,candidate,candidate_label,truth,seed,dimension,deviance,intervention_validation,held_out_mse,jacobian_rank,wall_seconds,aic,aicc,bic,waic_laplace,p_waic,ogic_p,ogic_e,gic_eff,gic_vol_025,gic_vol_050,gic_vol_100,d_obs,c_obs,prior_energy
ok,tv_sir,TV-SIR,ude_sir_h2,1,4,-600.8437311441202,-211.7404594285425,3.133899267316616e-05,4,44.77660110000579,-592.8437311441202,-592.4663726535541,-582.0056103388708,-591.4021429855201,5.164429059107485,-592.8848704823702,-567.275770463606,-582.102483816846,-573.9610290477883,-565.8195742787308,-549.5366647406155,3.9794303308750094,32.56581907623043,1.0021416042836673
ok,tv_sir,TV-SIR,ude_sir_h2,2,4,-594.8059099575681,-204.419861441391,5.908227464430326e-05,4,45.50817960000131,-586.8059099575681,-586.4285514670021,-575.9677891523188,-585.8505041794383,4.72714374287965,-586.8464920028825,-561.4067572376266,-576.0633503363383,-567.9101606090128,-559.7569708816873,-543.4505914270361,3.97970897734282,32.612758909302215,0.7863938106392712
ok,tv_sir,TV-SIR,ude_sir_h2,3,4,-575.1438966085108,-199.09424268636303,8.057906025354871e-05,4,45.31944089999888,-567.1438966085108,-566.7665381179447,-556.3057758032614,-566.7668013433511,4.2471227027260205,-567.1833976872385,-541.6467761050363,-556.3987915648878,-548.243593196503,-540.0883948281181,-523.7779980913484,3.9802494606361254,32.62079347353941,0.8763270299350948
ok,tv_sir,TV-SIR,ude_sir_h2,4,4,-592.5707767773099,-195.1658440028356,7.297149609842673e-05,4,45.53335330000846,-584.5707767773099,-584.1934182867438,-573.7326559720606,-583.1558568306796,4.88337469392201,-584.6123648243126,-559.3274269700116,-573.8305860537471,-565.6755832714188,-557.5205804890904,-541.2105749244338,3.9792059764986294,32.620011129313255,0.6233386779849719
ok,tv_sir,TV-SIR,ude_sir_h2,5,4,-605.0149126561712,-198.5714170029676,3.648399754860789e-05,4,28.89934259999427,-597.0149126561712,-596.6375541656051,-586.1767918509219,-596.497262989254,4.168838169833537,-597.0550236709992,-571.6120124435415,-586.2712438687905,-578.106579876361,-569.9419158839315,-553.6125878990724,3.9799444925860428,32.65865596971804,0.7442442429116625
ok,tv_sir,TV-SIR,ude_sir_h2,6,4,-597.336386695474,-179.18250289032133,9.931756791807227e-05,4,22.998568399998476,-589.336386695474,-588.9590282049079,-578.4982658902246,-587.3685490559561,5.251014996250449,-589.3794039665862,-563.9729295321597,-578.5995614589654,-570.4463346300736,-562.2931078011818,-545.9866541433983,3.9784913644438546,32.612907315567156,0.7505498477471491
ok,tv_sir,TV-SIR,ude_sir_h2,7,4,-556.565241459966,-198.70765228309898,5.0193129950887994e-05,4,60.2948264000006,-548.565241459966,-548.1878829694,-537.7271206547167,-546.8653916037483,5.789409448688584,-548.6073155830426,-523.0097039262548,-537.826195331378,-529.6847055959967,-521.5432158606153,-505.2602363898526,3.978962938461742,32.56595894152545,0.989578592185766
ok,tv_sir,TV-SIR,ude_sir_h2,8,4,-577.9858206893601,-214.75708135352204,2.9541638885946528e-05,4,25.592859299998963,-569.9858206893601,-569.6084621987941,-559.1476998841108,-567.9560901573968,5.871183846141698,-570.0270820163927,-544.3175629619501,-559.2448606170138,-551.107340094126,-542.9698195712381,-526.6947785254624,3.9793693364837113,32.550082091551445,1.1181756358585768
ok,tv_sir,TV-SIR,ude_sir_h2,9,4,-600.2859525822247,-185.43865979310925,6.548513573370295e-05,4,32.46930309999152,-592.2859525822247,-591.9085940916586,-581.4478317769754,-591.0382720721477,4.717913177953893,-592.3254050161225,-566.5695877850592,-581.5407329914541,-573.3924062975467,-565.2440796036394,-548.9474262158247,3.980273783051058,32.59330677562935,1.1230580215361141
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,0,11,-615.1985463445894,-197.39852575763138,1.1122365900297326e-05,10,36.52227900001162,-593.1985463445894,-590.5318796779228,-563.3937141301537,88721.97202126982,44647.618397615515,-601.4730325554732,-557.2764984981378,-582.8781854854036,-572.8770412929229,-562.8758971004421,-542.8736087154806,6.862756894558099,40.00457676992301,17.917471076528642
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,1,11,-645.1043952440352,-212.0925736671208,6.336841855998038e-06,10,71.95337070000824,-623.1043952440352,-620.4377285773686,-593.2995630295995,421.10993689995433,513.9705104145164,-631.5017874789017,-584.7305109100237,-613.0734492007845,-603.1202649278234,-593.1670806548624,-573.2607121089404,6.801303882566716,39.81273709184409,20.56114724216755
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,2,11,-631.5403412927666,-217.38671083252424,3.5771045510468842e-06,10,72.94130869999935,-609.5403412927666,-606.8736746261,-579.7355090783309,10672.765514920735,5626.883636723678,-618.0523349157262,-572.7337946418077,-599.779254598684,-589.8368133716465,-579.894372144609,-560.0094896905339,6.74400318852019,39.769764908150115,19.03678174280878
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,3,11,-617.5744618880877,-203.36238054296436,5.794791702229936e-06,10,73.10497240000404,-595.5744618880877,-592.9077952214211,-565.769629673652,4885.50118827186,2732.5952327015384,-604.2413234762627,-559.0369973030649,-586.178052873704,-576.4442292463498,-566.7104056189954,-547.2427583642869,6.666569205912516,38.935294509417105,19.60217007560577
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,4,11,-622.4366630477471,-198.7497080178092,1.6863835434534602e-05,10,36.715065800002776,-600.4366630477471,-597.7699963810804,-570.6318308333114,4474.141176759934,2519.0222182952316,-608.8700590374063,-566.0711555722447,-590.4904973897746,-580.5137417606109,-570.5369861314471,-550.5834748731195,6.783302005170378,39.907022516655175,16.458484958847162
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,5,11,-636.260428683669,-209.23165351601853,8.252375295756741e-07,10,36.30008899999666,-614.260428683669,-611.5937620170024,-584.4555964692333,147444.71270245453,74013.27310005897,-622.7559427335293,-579.096869967955,-604.4605364659783,-594.5783987291235,-584.6962609922687,-564.9319855185591,6.752242975069889,39.52855094741915,17.635007768294944
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,6,11,-623.3797414001757,-193.8351757669283,2.8199788232628134e-05,10,89.54097570000158,-601.3797414001757,-598.7130747335091,-571.57490918574,35051.46834143412,17807.820118964075,-609.9336865910828,-566.7507772689767,-591.7174407942138,-581.8224417329662,-571.9274426717186,-552.1374445492235,6.723027404546444,39.579996244990284,17.048967886208697
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,7,11,-593.2831991266406,-195.70010927362222,4.856888272938497e-06,10,93.60594999999739,-571.2831991266406,-568.616532459974,-541.4783669122049,3616.9147803567466,2082.404215215042,-579.7244468828495,-534.4458973902229,-561.355522534518,-551.3311171967192,-541.3067118589205,-521.2579011833229,6.779376121895533,40.09762135119496,18.739680385222858
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,8,11,-622.3563859236452,-218.43302133787398,1.1752716188355618e-05,10,88.20162219999474,-600.3563859236452,-597.6897192569786,-570.5515537092095,3184.322941656361,1883.8135155660625,-608.7941555307376,-562.1455453986395,-590.420519107368,-580.4434491310082,-570.4663791546482,-550.5122392019283,6.781115196453794,39.908279905439684,20.302560619566055
ok,ude_sir_h2,UDE-SIR(2),ude_sir_h2,9,11,-609.2820751050115,-193.53148916073502,1.845218609686372e-05,10,92.02585640001053,-587.2820751050115,-584.6154084383448,-557.4772428905758,5666.315674122001,3103.853463363039,-596.0753376842476,-551.8661047678654,-578.1833107330671,-568.4975038047656,-558.8116968764642,-539.4400830198614,6.603368710381896,38.743227713205684,18.672742623940426
