experiment,dimension,trial,relative_spectrum_error,raw_dimension_original,raw_dimension_duplicate,d_obs_original,d_obs_duplicate,c_obs_original,c_obs_duplicate
coordinate_change,11,91.0,7.183442543774461e-10,,,,,,
coordinate_change,11,92.0,1.2127475572193729e-09,,,,,,
coordinate_change,11,93.0,1.7333091273628288e-09,,,,,,
coordinate_change,11,94.0,2.650378085465068e-09,,,,,,
coordinate_change,11,95.0,1.4960703232218174e-09,,,,,,
coordinate_change,11,96.0,2.4784508019749457e-10,,,,,,
coordinate_change,11,97.0,1.393659745965919e-09,,,,,,
coordinate_change,11,98.0,1.6695752340831949e-09,,,,,,
coordinate_change,11,99.0,4.499317739452811e-10,,,,,,
exact_duplication,11,,1.3415489683281265e-15,11.0,22.0,8.013715320313864,8.013715320313876,20.53675239403512,20.536752394035126
coordinate_change,20,0.0,1.3940063416435163e-09,,,,,,
coordinate_change,20,1.0,1.8664458598554267e-09,,,,,,
coordinate_change,20,2.0,4.873103131573758e-10,,,,,,
coordinate_change,20,3.0,1.498796747660152e-09,,,,,,
coordinate_change,20,4.0,1.6449426389774376e-09,,,,,,
coordinate_change,20,5.0,2.471661574700278e-09,,,,,,
coordinate_change,20,6.0,1.101079995505113e-09,,,,,,
coordinate_change,20,7.0,1.8886827700152663e-09,,,,,,
coordinate_change,20,8.0,3.268537821522563e-09,,,,,,
coordinate_change,20,9.0,1.1881390089516697e-09,,,,,,
coordinate_change,20,10.0,1.300752805843503e-09,,,,,,
coordinate_change,20,11.0,1.969853811859838e-09,,,,,,
coordinate_change,20,12.0,1.9931745789108035e-09,,,,,,
coordinate_change,20,13.0,9.346978924364255e-10,,,,,,
coordinate_change,20,14.0,1.1228123946648822e-09,,,,,,
coordinate_change,20,15.0,1.0497262700087083e-09,,,,,,
coordinate_change,20,16.0,1.3147246612607129e-09,,,,,,
coordinate_change,20,17.0,9.46770554479199e-10,,,,,,
coordinate_change,20,18.0,1.903687266922679e-09,,,,,,
coordinate_change,20,19.0,8.77007131132319e-10,,,,,,
coordinate_change,20,20.0,3.7660252724921826e-09,,,,,,
coordinate_change,20,21.0,1.7857783393397443e-09,,,,,,
coordinate_change,20,22.0,5.101755437844386e-09,,,,,,
coordinate_change,20,23.0,7.30250114702999e-10,,,,,,
coordinate_change,20,24.0,1.162338786468763e-09,,,,,,
coordinate_change,20,25.0,1.5494991409384223e-09,,,,,,
coordinate_change,20,26.0,1.0065821976995387e-09,,,,,,
coordinate_change,20,27.0,2.6149038700411165e-10,,,,,,
coordinate_change,20,28.0,1.7472627012923773e-09,,,,,,
coordinate_change,20,29.0,9.796418326568374e-10,,,,,,
coordinate_change,20,30.0,1.3508291441435111e-09,,,,,,
coordinate_change,20,31.0,1.8019260675920395e-09,,,,,,
coordinate_change,20,32.0,1.3751467435275298e-09,,,,,,
coordinate_change,20,33.0,9.412380800152192e-10,,,,,,
coordinate_change,20,34.0,1.215644578597427e-09,,,,,,
coordinate_change,20,35.0,2.1209816970204524e-09,,,,,,
coordinate_change,20,36.0,4.1656416045843014e-10,,,,,,
coordinate_change,20,37.0,2.081021172608203e-09,,,,,,
coordinate_change,20,38.0,2.7001880873480014e-09,,,,,,
coordinate_change,20,39.0,2.430071378908523e-09,,,,,,
coordinate_change,20,40.0,1.1816354670667896e-09,,,,,,
coordinate_change,20,41.0,7.655425131594501e-10,,,,,,
coordinate_change,20,42.0,7.941704100672113e-10,,,,,,
coordinate_change,20,43.0,4.701755322306247e-10,,,,,,
coordinate_change,20,44.0,4.543442543081059e-10,,,,,,
coordinate_change,20,45.0,1.4177535063159767e-09,,,,,,
coordinate_change,20,46.0,8.850431845798304e-10,,,,,,
coordinate_change,20,47.0,1.0855998114276865e-09,,,,,,
coordinate_change,20,48.0,2.08634261345806e-09,,,,,,
coordinate_change,20,49.0,1.4594307103890322e-09,,,,,,
coordinate_change,20,50.0,1.1274948385431073e-09,,,,,,
coordinate_change,20,51.0,3.0107887328315716e-09,,,,,,
coordinate_change,20,52.0,3.2179758891265137e-10,,,,,,
coordinate_change,20,53.0,5.998689301926668e-10,,,,,,
coordinate_change,20,54.0,1.3061653500146864e-09,,,,,,
coordinate_change,20,55.0,8.749429466172432e-10,,,,,,
coordinate_change,20,56.0,9.484709536638431e-10,,,,,,
coordinate_change,20,57.0,1.3099873579796454e-09,,,,,,
coordinate_change,20,58.0,1.2157531433284584e-09,,,,,,
coordinate_change,20,59.0,9.197288082052863e-10,,,,,,
coordinate_change,20,60.0,3.175326401554919e-09,,,,,,
coordinate_change,20,61.0,5.516804747646166e-10,,,,,,
coordinate_change,20,62.0,2.5565955032207243e-09,,,,,,
coordinate_change,20,63.0,2.7113385680840908e-09,,,,,,
coordinate_change,20,64.0,1.0260799461725729e-09,,,,,,
coordinate_change,20,65.0,5.90412252615334e-10,,,,,,
coordinate_change,20,66.0,1.0264723696655821e-09,,,,,,
coordinate_change,20,67.0,4.5448466526076033e-10,,,,,,
coordinate_change,20,68.0,1.2642849481047675e-09,,,,,,
coordinate_change,20,69.0,3.564986163440589e-09,,,,,,
coordinate_change,20,70.0,1.413868413422985e-09,,,,,,
coordinate_change,20,71.0,1.1348927328082024e-09,,,,,,
coordinate_change,20,72.0,1.0001479543547807e-09,,,,,,
coordinate_change,20,73.0,1.0318176888336994e-09,,,,,,
coordinate_change,20,74.0,1.6586837290161307e-09,,,,,,
coordinate_change,20,75.0,7.64491066100504e-10,,,,,,
coordinate_change,20,76.0,6.820082265333453e-10,,,,,,
coordinate_change,20,77.0,1.8166086272953282e-09,,,,,,
coordinate_change,20,78.0,1.7023509759303324e-09,,,,,,
coordinate_change,20,79.0,1.2182564254531794e-09,,,,,,
coordinate_change,20,80.0,3.333007744760428e-10,,,,,,
coordinate_change,20,81.0,1.5670466122616591e-09,,,,,,
coordinate_change,20,82.0,8.579088393058928e-10,,,,,,
coordinate_change,20,83.0,5.730817249443336e-10,,,,,,
coordinate_change,20,84.0,7.421865345286554e-10,,,,,,
coordinate_change,20,85.0,1.6415069160438282e-09,,,,,,
coordinate_change,20,86.0,1.1526751404580178e-09,,,,,,
coordinate_change,20,87.0,1.5533294298695422e-09,,,,,,
coordinate_change,20,88.0,2.1404321630781003e-09,,,,,,
coordinate_change,20,89.0,1.0652554996285609e-09,,,,,,
coordinate_change,20,90.0,1.2162992717079663e-09,,,,,,
coordinate_change,20,91.0,2.561683619288238e-09,,,,,,
coordinate_change,20,92.0,1.0176196182118084e-09,,,,,,
coordinate_change,20,93.0,1.7436725989069394e-09,,,,,,
coordinate_change,20,94.0,1.826890091607579e-09,,,,,,
coordinate_change,20,95.0,4.893468776794011e-09,,,,,,
coordinate_change,20,96.0,3.689492378922703e-10,,,,,,
coordinate_change,20,97.0,5.728792741767123e-10,,,,,,
coordinate_change,20,98.0,2.701660190981897e-09,,,,,,
coordinate_change,20,99.0,1.2089416453589597e-09,,,,,,
exact_duplication,20,,8.078719965003453e-16,20.0,40.0,12.69822716930164,12.69822716930167,30.743294481752777,30.743294481752798
