candidate,seed,train_deviance,blocked_standardized_mse,observable_dimension,observable_complexity,aic,bic,gic_eff,gic_vol
ude_appearance,21,20.382466182485246,2.8892825676654974,2.2600325660913323,11.589470362602126,40.382466182485246,36.47684530682625,24.01984827768836,29.814583458989425
neural_ode,21,9.823652915126145,0.472066921554723,1.062159599735188,2.4009071542971157,31.823652915126146,27.527469951901246,11.533132843995785,12.733586421144343
minimal_fixed,22,28.7796695584448,14.477171119426563,1.734879733044577,9.514550240340737,34.7796695584448,33.607983295747104,31.571850774320296,36.329125894490666
minimal_gamma,22,15.744255305274802,3.5625349459106235,2.1641167330360895,5.873673401861064,25.7442553052748,23.791444867445303,19.22726682235611,22.16410352328664
ude_appearance,22,26.124566579731436,11.472911524485117,2.2915609731737816,10.421069928668043,46.124566579731436,42.21894570407244,29.812691688611704,35.02322665294572
neural_ode,22,12.036087215112133,54.968471354962105,1.1836840322674216,2.822372492200546,34.03608721511213,29.739904251887236,13.94115317298619,15.352339419086464
minimal_fixed,23,27.70807211611453,112.39915394401604,1.6517727356253342,9.689667005531534,33.70807211611453,32.53638585341683,30.36649777955493,35.2113312823207
minimal_gamma,23,11.495427485300517,1.2812655046434906,2.205094328814795,6.212720047622557,21.495427485300517,19.54261704747102,15.044389898588474,18.15074992239975
ude_appearance,23,24.097519857174035,1.656229135656121,2.3039855823825164,10.64820786373836,44.097519857174035,40.19189898151504,27.805641603162016,33.1297455350312
neural_ode,23,9.391437965178538,76.03293123972665,1.2812494879099163,3.4765872030593363,31.39143796517854,27.09525500195364,11.453529466307533,13.1918230678372
minimal_fixed,24,18.39525496198321,0.664662299581508,1.3684879974091333,3.5827218638965594,24.39525496198321,23.223568699285508,20.597751427724486,22.389112359672765
minimal_gamma,24,15.256861873978348,2.9502020225238996,2.629207340887495,9.466646229117265,25.256861873978348,23.30405143614885,19.48840784805273,24.221730962611364
ude_appearance,24,38.05223404208107,21.58724217857351,2.218705347201081,10.045167393074244,58.05223404208107,54.14661316642207,41.623102544386754,46.64568624092388
neural_ode,24,19.87665650580908,171.1374558881137,1.3970803190057912,3.6371947298848193,41.87665650580908,37.58047354258419,22.12517053793253,23.94376790287494
minimal_fixed,25,22.079932668072374,31.0695883770735,1.6717077170007573,10.24847116416842,28.079932668072374,26.908246405374676,24.770442446322047,29.894678028406258
minimal_gamma,25,15.69642889302885,37.354826719913085,2.710553882884773,15.44250903664068,25.696428893028852,23.743618455199353,20.058897075839063,27.780151594159403
ude_appearance,25,22.995300963981258,113.14289623232517,2.084223224968185,11.248158921021313,42.99530096398126,39.08968008832226,26.34972884022072,31.973808300731378
neural_ode,25,17.785650718036912,10.649432028008384,0.9337797965262002,2.1884159286264877,39.78565071803691,35.48946775481201,19.28851132443118,20.382719288744426
minimal_fixed,26,27.44751637664408,235.5758102752514,1.632578005603991,9.878713999694291,33.44751637664408,32.275830113946384,30.075049313869194,35.014406313716336
minimal_gamma,26,26.65831007673532,387.70515447502646,2.5360306660250225,14.409591794531824,36.65831007673532,34.70549963890582,30.73989397773149,37.9446898749974
ude_appearance,26,29.081964332406315,5.104503985289904,2.1572325158747385,10.835171931185421,49.081964332406315,45.17634345674732,32.553896129390715,37.97148209498343
neural_ode,26,11.67381370505194,25.888658720391543,1.169775700444473,2.9655827288369085,33.67381370505194,29.37763074182704,13.55649506639143,15.039286430809884
minimal_fixed,27,31.832453428905936,11.569890711691446,1.6801965508606278,11.888534192552699,37.832453428905936,36.66076716620824,34.53662545820204,40.48089255447839
minimal_gamma,27,20.44417418237279,70.25110850171372,2.6226577247172083,14.794409923014765,30.44417418237279,28.491363744543293,24.66517895587082,32.062383917378206
ude_appearance,27,27.604097193464085,2.1305662033427883,2.099822088714469,11.530721256805348,47.604097193464085,43.69847631780509,30.98363047240771,36.748991100810386
neural_ode,27,11.55895689259639,32.46694144895371,0.8524708868676599,1.8337697704242555,33.55895689259639,29.26277392937149,12.930955857167522,13.847840742379649
minimal_fixed,28,22.692288458284434,17.480124072126973,1.6794089634822307,10.290546482580492,28.692288458284434,27.520602195586733,25.395192914594393,30.540466155884637
minimal_gamma,28,16.718992936761666,300.7904388795713,2.697313180105409,14.664636532324211,26.718992936761666,24.766182498932167,21.0601510305315,28.392469296693605
ude_appearance,28,21.990239486624475,10.820546178994764,2.160416066701043,11.15805434629951,41.990239486624475,38.08461861096548,25.467295011004893,31.046322184154647
neural_ode,28,9.452036484735569,15.64710805368001,1.1509328708781283,2.9325175463739455,31.45203648473557,27.15585352151067,11.304391481793449,12.77065025498042
minimal_fixed,29,28.933408860961876,118.50308963240569,1.620040501360706,10.82497925268251,34.933408860961876,33.76172259826418,31.540763463530546,36.9532530898718
minimal_gamma,29,20.269546087875497,13.64646874112981,2.702991364621035,15.71438028747442,30.269546087875497,28.316735650046,24.619842867078574,32.47703301081579
ude_appearance,29,19.319111862463757,5.041768137906575,2.3035693545833316,12.057552026728283,39.31911186246376,35.41349098680476,23.02656371565152,29.05533972901566
neural_ode,29,11.190932857185569,5.787833007206785,1.2009959096752074,2.6119282982896146,33.19093285718557,28.89474989396067,13.123861206895128,14.429825356039936
