seed,scenario,criterion,model,score,weight,selected
12,redundant_parameterization,gic_eff,SIR,16.539714996250055,0.35940702188931545,0
12,redundant_parameterization,gic_eff,Redundant-SIR,16.477461617304158,0.37077010276741407,1
12,redundant_parameterization,gic_eff,Duplicate-UDE,17.487909856669326,0.22371168041208941,0
12,redundant_parameterization,gic_eff,TV-SIR,20.646514498834534,0.04611119493118102,0
12,redundant_parameterization,gic_aic,SIR,14.461457874605827,0.3227202640866719,0
12,redundant_parameterization,gic_aic,Redundant-SIR,14.420562541942456,0.32938706837510845,1
12,redundant_parameterization,gic_aic,Duplicate-UDE,15.06669503254983,0.2384518286334453,0
12,redundant_parameterization,gic_aic,TV-SIR,16.624261421095476,0.10944083890477437,0
12,redundant_parameterization,cv,SIR,1.7037799388126296,0.2490950061762699,0
12,redundant_parameterization,cv,Redundant-SIR,1.703779938812628,0.24909500617627006,0
12,redundant_parameterization,cv,Duplicate-UDE,1.6982923745292273,0.24977940709995247,0
12,redundant_parameterization,cv,TV-SIR,1.6803478249595214,0.2520305805475075,1
13,redundant_parameterization,aic,SIR,25.175702483524347,0.8198572795605751,1
13,redundant_parameterization,aic,Redundant-SIR,33.17570248352436,0.015016209872731374,0
13,redundant_parameterization,aic,Duplicate-UDE,40.993694291219526,0.0003012346866838559,0
13,redundant_parameterization,aic,TV-SIR,28.384191077565045,0.16482527588000975,0
13,redundant_parameterization,bic,SIR,27.264747358971192,0.931956370556007,1
13,redundant_parameterization,bic,Redundant-SIR,39.4428371098649,0.002113279751827667,0
13,redundant_parameterization,bic,Duplicate-UDE,51.43891866845375,5.2485698245604095e-06,0
13,redundant_parameterization,bic,TV-SIR,32.56228082845874,0.06592510112234086,0
13,redundant_parameterization,gic_eff,SIR,27.233303746734112,0.359267170466506,0
13,redundant_parameterization,gic_eff,Redundant-SIR,27.17105036778822,0.37062582977537595,1
13,redundant_parameterization,gic_eff,Duplicate-UDE,28.050931735200837,0.23871069198308123,0
13,redundant_parameterization,gic_eff,TV-SIR,32.10805578655966,0.03139630777503658,0
13,redundant_parameterization,gic_aic,SIR,25.155046625089884,0.3289067191953892,0
13,redundant_parameterization,gic_aic,Redundant-SIR,25.11415129242652,0.33570132421417453,1
13,redundant_parameterization,gic_aic,Duplicate-UDE,25.629716911081342,0.25941757946026506,0
13,redundant_parameterization,gic_aic,TV-SIR,28.085802708820598,0.07597437713017116,0
13,redundant_parameterization,cv,SIR,0.6147352005927043,0.24723206794104666,0
13,redundant_parameterization,cv,Redundant-SIR,0.6147352005927048,0.2472320679410466,0
13,redundant_parameterization,cv,Duplicate-UDE,0.5665281184131669,0.253263635299346,1
13,redundant_parameterization,cv,TV-SIR,0.5743725292422391,0.2522722288185609,0
14,redundant_parameterization,aic,SIR,22.227673771778246,0.7252248833021847,1
14,redundant_parameterization,aic,Redundant-SIR,30.227673771778242,0.013282957075687225,0
14,redundant_parameterization,aic,Duplicate-UDE,38.071300095634,0.0002630709868346579,0
14,redundant_parameterization,aic,TV-SIR,24.269841839875422,0.2612290886352934,0
14,redundant_parameterization,bic,SIR,24.31671864722509,0.8857281887729248,1
